INFO  - 2014-09-15 13:39:04.182; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-09-15 13:39:04.211; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/hojoon/SmartSearch/SSEngine/contexts at interval 0
INFO  - 2014-09-15 13:39:04.218; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/hojoon/SmartSearch/SSEngine/contexts/solr-jetty-context.xml
INFO  - 2014-09-15 13:39:04.276; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/hojoon/SmartSearch/SSEngine/webapps/solr.war!/ to /home/hojoon/SmartSearch/SSEngine/solr-webapp/webapp
INFO  - 2014-09-15 13:39:05.525; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-09-15 13:39:05.574; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-15 13:39:05.597; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-09-15 13:39:05.598; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-09-15 13:39:05.599; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-09-15 13:39:05.733; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/hojoon/SmartSearch/SSEngine/solr/solr.xml
INFO  - 2014-09-15 13:39:05.892; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-15 13:39:05.901; org.apache.solr.core.CoreContainer; New CoreContainer 798147976
INFO  - 2014-09-15 13:39:05.901; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-09-15 13:39:05.919; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-15 13:39:05.919; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-15 13:39:05.920; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-15 13:39:05.922; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-15 13:39:05.923; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-15 13:39:05.923; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-09-15 13:39:05.924; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-09-15 13:39:05.924; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-15 13:39:05.924; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-15 13:39:05.932; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-09-15 13:39:06.163; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-15 13:39:06.164; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-15 13:39:06.211; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/hojoon/SmartSearch/SSEngine/solr
INFO  - 2014-09-15 13:39:06.229; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/hojoon/SmartSearch/SSEngine/solr/collection1/
INFO  - 2014-09-15 13:39:06.229; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-15 13:39:06.232; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/hojoon/SmartSearch/SSEngine/solr/collection1
INFO  - 2014-09-15 13:39:06.233; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/hojoon/SmartSearch/SSEngine/solr/collection1/'
